subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct
SS15,4,Start4,Stop4,515646.95959609776,515651.9507189839,4.0,11.0,0,7.0,False
SS15,5,Start5,Stop5,515659.15270400804,515664.15328309423,4.0,7.5,0,7.0,False
SS15,6,Start6,Stop6,515671.35835751845,515676.3632912048,4.0,8.5,0,7.0,False
SS15,7,Start7,Stop7,515683.5576954288,515688.7634927186,4.0,7.0,0,7.0,True
SS15,8,Start8,Stop8,515695.76370873925,515700.96906022896,4.0,8.0,0,7.0,False
SS15,9,Start9,Stop9,515708.16407125304,515713.16432643926,4.0,9.0,0,7.0,False
SS15,10,Start10,Stop10,515720.5661868669,515725.56448455306,4.0,11.0,0,7.0,False
SS15,11,Start11,Stop11,515732.76585687726,515737.77242556354,4.0,7.5,0,7.0,False
SS15,12,Start12,Stop12,515744.98115268786,515749.97138457384,4.0,8.5,0,7.0,False
SS15,13,Start13,Stop13,515757.2007347985,515762.1894501845,4.0,7.0,0,7.0,True
SS15,14,Start14,Stop14,515769.38437020854,515774.37568129465,4.0,8.0,0,7.0,False
SS15,15,Start15,Stop15,515781.77503932227,515786.77569900843,4.0,9.0,0,7.0,False
SS15,16,Start16,Stop16,515793.9795701327,515798.98088151886,4.0,11.0,0,7.0,False
SS15,17,Start17,Stop17,515806.18315434305,515811.4116919332,4.0,7.5,0,7.0,False
SS15,18,Start18,Stop18,515818.5863903569,515823.58863014315,4.0,8.5,0,7.0,False
SS16,1,Start1,Stop1,516148.9227579596,516153.92631683586,4.0,7.0,0,7.0,True
SS16,2,Start2,Stop2,516161.13849698985,516166.33096717275,4.0,8.0,0,7.0,False
SS16,3,Start3,Stop3,516173.8416115373,516178.5396256028,4.0,9.0,0,7.0,False
SS16,4,Start4,Stop4,516185.7397893564,516190.7369018324,4.0,11.0,0,7.0,False
SS16,5,Start5,Stop5,516197.93972548615,516202.9446760624,4.0,7.5,0,7.0,False
SS16,6,Start6,Stop6,516210.14500071603,516215.14765529224,4.0,8.5,0,7.0,False
SS16,7,Start7,Stop7,516222.54971675295,516227.5508497291,4.0,7.0,0,7.0,True
SS16,8,Start8,Stop8,516234.96239719016,516239.9587258662,4.0,8.0,0,7.0,False
SS16,9,Start9,Stop9,516247.16278981994,516252.3765025036,4.0,9.0,0,7.0,False
SS16,10,Start10,Stop10,516259.57683435717,516264.37112262606,4.0,11.0,0,7.0,False
SS16,11,Start11,Stop11,516271.77203298674,516276.77501666296,4.0,7.5,0,7.0,False
SS16,12,Start12,Stop12,516283.98399221693,516288.9812981929,4.0,8.5,0,7.0,False
SS16,13,Start13,Stop13,516296.1840650466,516301.1879057228,4.0,7.0,0,7.0,True
SS16,14,Start14,Stop14,516308.59743008384,516313.5918537598,4.0,8.0,0,7.0,False
SS16,15,Start15,Stop15,516320.79527991347,516325.8040323899,4.0,9.0,0,7.0,False
SS16,16,Start16,Stop16,516333.00281244353,516338.0100356199,4.0,11.0,0,7.0,False
SS16,17,Start17,Stop17,516345.4092162805,516350.40836645657,4.0,7.5,0,7.0,False
SS16,18,Start18,Stop18,516357.6116120103,516362.6188484867,4.0,8.5,0,7.0,False
SS16,19,Start19,Stop19,516369.8303562407,516374.82180481654,4.0,7.0,0,7.0,True
SS16,20,Start20,Stop20,516382.0273571703,516387.0333977466,4.0,8.0,0,7.0,False
SS16,21,Start21,Stop21,516394.0345714932,516399.23384637636,4.0,9.0,0,7.0,False
SS16,22,Start22,Stop22,516406.43837673013,516411.4418053064,4.0,11.0,0,7.0,False
