subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,rhos,preproc
SS09,17,Start17,Stop17,430104.2863315661,430109.2687769566,4.0,7.5,4,7.5,True,"[np.float64(0.2237072913228134), np.float64(0.2778918197044651), np.float64(0.2444454327220702), np.float64(0.3002028885431549), np.float64(0.398842186195555), np.float64(0.21794296209906636)]",robust_detrend
SS09,18,Start18,Stop18,430116.2717453028,430121.27640469273,4.0,8.5,5,8.5,True,"[np.float64(0.2642197827142486), np.float64(0.2698156617795489), np.float64(0.20646734052570484), np.float64(0.2257442699048533), np.float64(0.2938657120480151), np.float64(0.3837095248722419)]",robust_detrend
SS09,19,Start19,Stop19,430128.47275603464,430133.4732503248,4.0,7.0,0,7.0,True,"[np.float64(0.43833756167917015), np.float64(0.3384198042801057), np.float64(0.16702945615060372), np.float64(0.20825297044321525), np.float64(0.236429414589829), np.float64(0.20211311605862764)]",robust_detrend
SS09,20,Start20,Stop20,430140.47644447087,430145.47633666097,4.0,8.0,1,8.0,True,"[np.float64(0.24515765592617647), np.float64(0.36320891940837946), np.float64(0.23020268688027828), np.float64(0.19807999183598662), np.float64(0.30054062336392934), np.float64(0.23903808014035446)]",robust_detrend
SS09,21,Start21,Stop21,430152.47778440715,430157.4778336972,4.0,9.0,2,9.0,True,"[np.float64(0.23406988754442562), np.float64(0.31308098957989805), np.float64(0.44207827106782166), np.float64(0.19643846495295725), np.float64(0.24758837852666818), np.float64(0.2528838296036307)]",robust_detrend
SS09,22,Start22,Stop22,430164.47799234337,430169.48464253335,4.0,11.0,3,11.0,True,"[np.float64(0.36597639147769223), np.float64(0.25292724527858795), np.float64(0.26596398005290023), np.float64(0.4107919131787253), np.float64(0.21972841270564164), np.float64(0.16519931627433848)]",robust_detrend
SS09,23,Start23,Stop23,430176.6871792751,430181.67885216547,4.0,7.5,4,7.5,True,"[np.float64(0.19858699157468357), np.float64(0.22198513685270588), np.float64(0.20093298265731313), np.float64(0.22856461251220703), np.float64(0.2724295912388612), np.float64(0.2197822940659938)]",robust_detrend
SS09,24,Start24,Stop24,430188.68094971153,430193.68206700165,4.0,8.5,5,8.5,True,"[np.float64(0.2739997322705097), np.float64(0.29302652489135933), np.float64(0.23147632028319579), np.float64(0.20210101600160252), np.float64(0.26518862007773464), np.float64(0.4466511915449563)]",robust_detrend
SS10,1,Start1,Stop1,430690.21940168185,430695.2203141752,4.0,7.0,0,7.0,True,"[np.float64(0.32635754283743035), np.float64(0.24379370176382575), np.float64(0.1893486251229977), np.float64(0.17118644173363617), np.float64(0.2043306841396582), np.float64(0.23349811637964146)]",robust_detrend
SS10,2,Start2,Stop2,430702.6272237134,430707.6285784067,4.0,8.0,1,8.0,True,"[np.float64(0.25061159141439715), np.float64(0.33002809446303194), np.float64(0.2215682604162606), np.float64(0.3105528876815983), np.float64(0.2994070661200311), np.float64(0.27670109482271577)]",robust_detrend
SS10,3,Start3,Stop3,430714.83075994113,430720.0353219382,4.0,9.0,4,7.5,False,"[np.float64(0.22114883558754694), np.float64(0.29235350779767794), np.float64(0.3286821713475425), np.float64(0.19659174870630572), np.float64(0.3357801514023956), np.float64(0.24576841172238467)]",robust_detrend
SS10,4,Start4,Stop4,430727.2393131726,430732.2350001659,4.0,11.0,3,11.0,True,"[np.float64(0.23726573693443356), np.float64(0.2363162164719046), np.float64(0.2743869635350111), np.float64(0.3751365324446835), np.float64(0.24523002228362037), np.float64(0.2757692196194481)]",robust_detrend
SS10,5,Start5,Stop5,430739.4427411003,430744.4500976937,4.0,7.5,4,7.5,True,"[np.float64(0.2819504081972978), np.float64(0.2657780344993151), np.float64(0.22277551306585772), np.float64(0.2394100503506493), np.float64(0.38682481026199483), np.float64(0.3072202777318755)]",robust_detrend
SS10,6,Start6,Stop6,430751.64603532804,430756.6978864223,4.0,8.5,5,8.5,True,"[np.float64(0.18830652936176956), np.float64(0.2191039830036182), np.float64(0.2372601132879739), np.float64(0.1573186618662705), np.float64(0.21713715848205375), np.float64(0.46280276629922285)]",robust_detrend
SS10,7,Start7,Stop7,430764.0512566595,430769.0570927529,4.0,7.0,0,7.0,True,"[np.float64(0.4269166867843282), np.float64(0.2621723312327518), np.float64(0.3236574279315994), np.float64(0.1920609903106193), np.float64(0.2726426190487323), np.float64(0.2398933364564214)]",robust_detrend
