subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,rhos,preproc
SS10,8,Start8,Stop8,430776.2655221874,430781.25826088054,4.0,8.0,1,8.0,True,"[np.float64(0.3174342529581111), np.float64(0.3427754303807532), np.float64(0.29387221684895576), np.float64(0.23309504379140908), np.float64(0.3278454867776104), np.float64(0.24427501752865885)]",bandpass+dc+sns+asr
SS10,9,Start9,Stop9,430788.46459971496,430793.46277280827,4.0,9.0,4,7.5,False,"[np.float64(0.21903044144818912), np.float64(0.30938146746623496), np.float64(0.28154138772731196), np.float64(0.2430913319939165), np.float64(0.36047126858306877), np.float64(0.23123941525306546)]",bandpass+dc+sns+asr
SS10,10,Start10,Stop10,430800.67509944283,430805.67893143615,4.0,11.0,3,11.0,True,"[np.float64(0.27002035191979556), np.float64(0.3051036055695518), np.float64(0.22266386258752902), np.float64(0.3397772292687883), np.float64(0.3102092329474067), np.float64(0.2484374794789206)]",bandpass+dc+sns+asr
SS10,11,Start11,Stop11,430812.87868257053,430817.8823588639,4.0,7.5,4,7.5,True,"[np.float64(0.1824357816778813), np.float64(0.19795432931947088), np.float64(0.20711886993957251), np.float64(0.2381468390894012), np.float64(0.39470109824261107), np.float64(0.21880333763711096)]",bandpass+dc+sns+asr
SS10,12,Start12,Stop12,430825.08220559824,430830.0799972915,4.0,8.5,5,8.5,True,"[np.float64(0.2717304995289322), np.float64(0.25269456408158203), np.float64(0.2674938931855936), np.float64(0.22525800549625655), np.float64(0.2808297257634833), np.float64(0.3644955784677436)]",bandpass+dc+sns+asr
SS10,13,Start13,Stop13,430837.2866171259,430842.2947971194,4.0,7.0,0,7.0,True,"[np.float64(0.4815179714953783), np.float64(0.4169071119061171), np.float64(0.21631357545180607), np.float64(0.21923952513688894), np.float64(0.3016796241383908), np.float64(0.27608240555815167)]",bandpass+dc+sns+asr
SS10,14,Start14,Stop14,430849.49045035365,430854.5051532472,4.0,8.0,1,8.0,True,"[np.float64(0.28283127991094914), np.float64(0.41139467872701924), np.float64(0.21747592704605295), np.float64(0.23371357660402955), np.float64(0.2666303887609404), np.float64(0.23024293050420294)]",bandpass+dc+sns+asr
SS10,15,Start15,Stop15,430861.7050030816,430866.69973997475,4.0,9.0,2,9.0,True,"[np.float64(0.2625700926706491), np.float64(0.2813664373345129), np.float64(0.341649334104129), np.float64(0.2587935647770622), np.float64(0.2759844804935885), np.float64(0.23140448514101541)]",bandpass+dc+sns+asr
SS10,16,Start16,Stop16,430873.90387450915,430878.91367080266,4.0,11.0,3,11.0,True,"[np.float64(0.22519521216181315), np.float64(0.3858954201884902), np.float64(0.2203578301228015), np.float64(0.4598824763503344), np.float64(0.2952220303430473), np.float64(0.2226222733329156)]",bandpass+dc+sns+asr
SS10,17,Start17,Stop17,430886.3129254407,430891.31149553397,4.0,7.5,4,7.5,True,"[np.float64(0.3103202534813695), np.float64(0.2784108805712903), np.float64(0.19246548622182383), np.float64(0.2541802503838154), np.float64(0.3330293512504949), np.float64(0.24045564834054026)]",bandpass+dc+sns+asr
