subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,scores,preproc
SS10,13,Start13,Stop13,430837.2866171259,430842.2947971194,4.0,7.0,1,8.0,False,"[np.float64(1194562.546373173), np.float64(4861251.248768343), np.float64(861396.3602456462), np.float64(920047.870696176), np.float64(1180963.4331386434), np.float64(292899.608889858)]",bandpass+dc+sns
SS10,14,Start14,Stop14,430849.49045035365,430854.5051532472,4.0,8.0,0,7.0,False,"[np.float64(3705541843.5058703), np.float64(1714842.2894518534), np.float64(679900.9440354033), np.float64(2407721.2218377213), np.float64(186886.42129607755), np.float64(483669.62519130885)]",bandpass+dc+sns
SS10,15,Start15,Stop15,430861.7050030816,430866.69973997475,4.0,9.0,0,7.0,False,"[np.float64(550878581.3244082), np.float64(309147869.5641982), np.float64(15066923.80835896), np.float64(2157976.9360100385), np.float64(132997.52155671327), np.float64(558900.6970471207)]",bandpass+dc+sns
SS10,16,Start16,Stop16,430873.90387450915,430878.91367080266,4.0,11.0,1,8.0,False,"[np.float64(47467471.95574394), np.float64(233373279.68816918), np.float64(285647.4204890546), np.float64(24483838.667069867), np.float64(445562.17057117086), np.float64(372424.53198314045)]",bandpass+dc+sns
SS10,17,Start17,Stop17,430886.3129254407,430891.31149553397,4.0,7.5,0,7.0,False,"[np.float64(29927355.696232762), np.float64(12948049.995812973), np.float64(872182.5002004777), np.float64(1453576.0464982665), np.float64(844142.8106215675), np.float64(1265989.437579921)]",bandpass+dc+sns
SS10,18,Start18,Stop18,430898.71036377206,430903.7125928654,4.0,8.5,0,7.0,False,"[np.float64(1278032601.4984372), np.float64(164585361.81970328), np.float64(199091.70209865898), np.float64(1011440.9787384584), np.float64(756284.8211155632), np.float64(1023381.1837122289)]",bandpass+dc+sns
SS10,19,Start19,Stop19,430910.91544299974,430915.9190207931,4.0,7.0,0,7.0,True,"[np.float64(16852744.06333364), np.float64(927519.5272440509), np.float64(419929.26437611686), np.float64(2791546.8459459497), np.float64(494495.05670466693), np.float64(556577.6462222323)]",bandpass+dc+sns
SS10,20,Start20,Stop20,430923.1573154282,430927.92811411724,4.0,8.0,0,7.0,False,"[np.float64(14051464.984393395), np.float64(991828.1929391767), np.float64(361002.3650139187), np.float64(3327827.5721591916), np.float64(1739187.8806935195), np.float64(1251649.3243379272)]",bandpass+dc+sns
SS10,21,Start21,Stop21,430935.33119015535,430940.3546744491,4.0,9.0,2,9.0,True,"[np.float64(52109343.86306895), np.float64(38829341.65336048), np.float64(542724047.5546198), np.float64(3054525.5059686983), np.float64(768892.7221989322), np.float64(2757002.683558238)]",bandpass+dc+sns
SS10,22,Start22,Stop22,430947.53398498305,430952.5396187764,4.0,11.0,0,7.0,False,"[np.float64(54719118.568292044), np.float64(913414.8669371742), np.float64(462027.34541313624), np.float64(10308978.589748047), np.float64(1107740.4615272575), np.float64(784412.635887139)]",bandpass+dc+sns
SS10,23,Start23,Stop23,430959.74417841085,430964.74360270414,4.0,7.5,1,8.0,False,"[np.float64(10846828.19157343), np.float64(68346614.08219323), np.float64(250282.1755847148), np.float64(5499141.568009826), np.float64(728594.2344666993), np.float64(1021269.4627472436)]",bandpass+dc+sns
SS10,24,Start24,Stop24,430971.95139953867,430976.9524102319,4.0,8.5,0,7.0,False,"[np.float64(215761717.62294805), np.float64(32492116.935234554), np.float64(50785.97474698744), np.float64(1647937.8108936881), np.float64(705998.4922531014), np.float64(2848393.035465245)]",bandpass+dc+sns
SS11,1,Start1,Stop1,431160.2850503977,431165.2964761862,4.0,7.0,0,7.0,True,"[np.float64(248126468.08778855), np.float64(1986537.5570046855), np.float64(399250.4314814372), np.float64(563980.9133902871), np.float64(2317862.1433864525), np.float64(587730.6634249338)]",bandpass+dc+sns
SS11,2,Start2,Stop2,431172.49342918256,431177.4924547716,4.0,8.0,5,8.5,False,"[np.float64(41337575.077189595), np.float64(1778053.0736088967), np.float64(322158.91314137727), np.float64(119809.56706948117), np.float64(1079500.206725437), np.float64(47502317.337716565)]",bandpass+dc+sns
SS11,3,Start3,Stop3,431184.69246286777,431189.7030641563,4.0,9.0,0,7.0,False,"[np.float64(15099316.126434647), np.float64(385978.6824932401), np.float64(927629.447029213), np.float64(86253.69559901531), np.float64(7312957.672988532), np.float64(553683.8982276559)]",bandpass+dc+sns
SS11,4,Start4,Stop4,431196.9018041525,431201.90456334146,4.0,11.0,0,7.0,False,"[np.float64(1173960868.8855367), np.float64(1277442.170146028), np.float64(157277.4310511393), np.float64(823885.1035723607), np.float64(5024077.051661615), np.float64(513658.6574464027)]",bandpass+dc+sns
SS11,5,Start5,Stop5,431209.1066103375,431214.1112791263,4.0,7.5,4,7.5,True,"[np.float64(5430859.588383976), np.float64(136033.7164297187), np.float64(192472.98469386555), np.float64(513069.8716825744), np.float64(7948295.095704939), np.float64(832730.5217342756)]",bandpass+dc+sns
SS11,6,Start6,Stop6,431221.3207194221,431226.5225081025,4.0,8.5,0,7.0,False,"[np.float64(73761738.27666336), np.float64(597925.745011902), np.float64(294735.12078110944), np.float64(36836.72934939558), np.float64(10346381.859497987), np.float64(656507.8026606246)]",bandpass+dc+sns
SS11,7,Start7,Stop7,431233.73171129834,431238.764617386,4.0,7.0,0,7.0,True,"[np.float64(43158260.005628966), np.float64(257376.4987099007), np.float64(257660.4991475675), np.float64(390407.39589605515), np.float64(2029311.0635432433), np.float64(230171.46120496083)]",bandpass+dc+sns
SS11,8,Start8,Stop8,431245.9293641836,431250.9385503722,4.0,8.0,0,7.0,False,"[np.float64(60169196.72653995), np.float64(1321271.91620674), np.float64(151330.6264891046), np.float64(194310.72819112465), np.float64(8431387.830998167), np.float64(1034720.1845734362)]",bandpass+dc+sns
SS11,9,Start9,Stop9,431258.3356342601,431263.1419315573,4.0,9.0,0,7.0,False,"[np.float64(37797044.973532535), np.float64(621568.99073438), np.float64(198826.48774837592), np.float64(126352.32548585141), np.float64(9245029.331755506), np.float64(263252.6270012564)]",bandpass+dc+sns
SS11,10,Start10,Stop10,431270.54358714493,431275.5463970338,4.0,11.0,0,7.0,False,"[np.float64(8465231.144022238), np.float64(311489.63900445367), np.float64(180884.24286186387), np.float64(239859.78123302688), np.float64(2311605.5802733693), np.float64(838440.7014525749)]",bandpass+dc+sns
SS11,11,Start11,Stop11,431282.7557177296,431287.7543104187,4.0,7.5,0,7.0,False,"[np.float64(26802346.112967853), np.float64(140775.84978236968), np.float64(203073.7607846165), np.float64(996964.6705908165), np.float64(4562648.500245487), np.float64(3030057.9228770835)]",bandpass+dc+sns
SS11,12,Start12,Stop12,431294.96635261434,431299.9615449035,4.0,8.5,0,7.0,False,"[np.float64(6206095.082814001), np.float64(233337.4759558545), np.float64(148146.74580153363), np.float64(223440.0977616008), np.float64(2146870.3734093155), np.float64(996784.7228818809)]",bandpass+dc+sns
SS11,13,Start13,Stop13,431307.37311459077,431312.3771674796,4.0,7.0,0,7.0,True,"[np.float64(543321695.6776735), np.float64(391260.3301162849), np.float64(25267.270814559015), np.float64(188895.1975201058), np.float64(2473282.764275107), np.float64(219208.80207310984)]",bandpass+dc+sns
SS11,14,Start14,Stop14,431319.57481587585,431324.5791957647,4.0,8.0,0,7.0,False,"[np.float64(400897667.53025055), np.float64(2681905.5813785335), np.float64(11584.605367824264), np.float64(376824.2249053881), np.float64(4319911.53781084), np.float64(628408.2059329924)]",bandpass+dc+sns
SS11,15,Start15,Stop15,431331.9839410522,431336.9864181411,4.0,9.0,0,7.0,False,"[np.float64(109879255.63201213), np.float64(145925.04746683524), np.float64(264384.5534187665), np.float64(272915.0814210407), np.float64(8085407.736171419), np.float64(853580.9336453124)]",bandpass+dc+sns
SS11,16,Start16,Stop16,431344.1956624369,431349.1954442259,4.0,11.0,0,7.0,False,"[np.float64(43238370.82503535), np.float64(614754.8908667181), np.float64(191076.87433744088), np.float64(4491253.468996428), np.float64(2620669.171976798), np.float64(767849.6716180573)]",bandpass+dc+sns
SS11,17,Start17,Stop17,431356.60901891306,431361.60675510217,4.0,7.5,4,7.5,True,"[np.float64(4611168.404195904), np.float64(120327.46283639225), np.float64(338302.7668792053), np.float64(449149.7347560456), np.float64(7008716.479491755), np.float64(1065788.5999345127)]",bandpass+dc+sns
SS11,18,Start18,Stop18,431368.81863049784,431373.81303238706,4.0,8.5,0,7.0,False,"[np.float64(110864068.90314628), np.float64(127193.5287268492), np.float64(380804.3014016497), np.float64(26643.35259024514), np.float64(748252.9096959999), np.float64(10909014.202575661)]",bandpass+dc+sns
SS11,19,Start19,Stop19,431381.0220149829,431386.018729272,4.0,7.0,0,7.0,True,"[np.float64(100854509.83110021), np.float64(590397.2703176147), np.float64(1092465.2963572056), np.float64(58204.50104097366), np.float64(1919428.0575182536), np.float64(814619.6889562509)]",bandpass+dc+sns
SS11,20,Start20,Stop20,431393.2256040679,431398.22449915693,4.0,8.0,0,7.0,False,"[np.float64(74143006.71329421), np.float64(2580423.3150222437), np.float64(179810.22368073493), np.float64(496180.5202715373), np.float64(3546285.2789632706), np.float64(63652.250183398966)]",bandpass+dc+sns
SS11,21,Start21,Stop21,431405.4306302529,431410.4308599418,4.0,9.0,0,7.0,False,"[np.float64(3071313.346154859), np.float64(373378.1847730085), np.float64(130723.38975318593), np.float64(242776.1788798736), np.float64(679067.8870871188), np.float64(728414.3381562098)]",bandpass+dc+sns
SS11,22,Start22,Stop22,431417.6420358375,431422.65600602597,4.0,11.0,0,7.0,False,"[np.float64(7856133.104787672), np.float64(11795.541450004072), np.float64(95157.16502404357), np.float64(450457.516966489), np.float64(440231.1524263483), np.float64(563410.6018068622)]",bandpass+dc+sns
SS11,23,Start23,Stop23,431429.6485104309,431434.92791530816,4.0,7.5,0,7.0,False,"[np.float64(44095702.36447211), np.float64(450370.04151000036), np.float64(181506.76357760117), np.float64(372960.71120917704), np.float64(3447327.565456623), np.float64(570307.6668428599)]",bandpass+dc+sns
SS11,24,Start24,Stop24,431442.05418430734,431447.065075296,4.0,8.5,0,7.0,False,"[np.float64(11399404.540325731), np.float64(226918.69537687156), np.float64(821671.4513504081), np.float64(38994.05450954349), np.float64(6262608.898291068), np.float64(547292.9824590739)]",bandpass+dc+sns
