subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,rhos
SS23,2,Start2,Stop2,353001.73240381666,353006.7154166045,4.0,8.0,1,8.0,True,"[np.float64(0.24589459671011313), np.float64(0.4265343217553304), np.float64(0.20515036853812635), np.float64(0.18902166951019622), np.float64(0.273104497421986), np.float64(0.20256324166335368)]"
SS23,3,Start3,Stop3,353013.5077578878,353018.51891787554,4.0,9.0,2,9.0,True,"[np.float64(0.25692102961505464), np.float64(0.23834613921707684), np.float64(0.37071010198001436), np.float64(0.18550140588946534), np.float64(0.31286157807204995), np.float64(0.2016526355587649)]"
SS23,4,Start4,Stop4,353025.1074787594,353030.1007041472,4.0,11.0,3,11.0,True,"[np.float64(0.22292530064119406), np.float64(0.3068099804103805), np.float64(0.15890433212536306), np.float64(0.3827746371031046), np.float64(0.25648016550316266), np.float64(0.21956010055360878)]"
SS23,5,Start5,Stop5,353036.89629473054,353041.71822441876,4.0,7.5,4,7.5,True,"[np.float64(0.23889836969982986), np.float64(0.25334913156308136), np.float64(0.20758712301689705), np.float64(0.3200679006077748), np.float64(0.6175459888956913), np.float64(0.2918410676275771)]"
SS23,6,Start6,Stop6,353048.29094030266,353053.2876406904,4.0,8.5,5,8.5,True,"[np.float64(0.2643959386721452), np.float64(0.23793189712668128), np.float64(0.2901228715368404), np.float64(0.2309217888161155), np.float64(0.26862289938047323), np.float64(0.4652899102519357)]"
SS23,7,Start7,Stop7,353060.09099037375,353065.07948666153,4.0,7.0,0,7.0,True,"[np.float64(0.49119588693292815), np.float64(0.3238573247207472), np.float64(0.1848567270515244), np.float64(0.20090380720962342), np.float64(0.2911004647792597), np.float64(0.24182775404522291)]"
SS23,8,Start8,Stop8,353071.6761689454,353076.6938036331,4.0,8.0,1,8.0,True,"[np.float64(0.28677984047346666), np.float64(0.546766360234756), np.float64(0.21816974405975503), np.float64(0.19509107717992624), np.float64(0.29782452561139844), np.float64(0.2171918008960594)]"
SS23,9,Start9,Stop9,353083.270533017,353088.30451000464,4.0,9.0,2,9.0,True,"[np.float64(0.32057783471672663), np.float64(0.2711730063867797), np.float64(0.5107643101428978), np.float64(0.18985017715397443), np.float64(0.23861851230942638), np.float64(0.23321365937593166)]"
SS23,10,Start10,Stop10,353094.86743588856,353100.0661860759,4.0,11.0,3,11.0,True,"[np.float64(0.32521341329352293), np.float64(0.3380324350910972), np.float64(0.2216125019983635), np.float64(0.41283864296504735), np.float64(0.3071921747311486), np.float64(0.26485596423812435)]"
SS23,11,Start11,Stop11,353106.6596829597,353111.46185074793,4.0,7.5,4,7.5,True,"[np.float64(0.26257638193857535), np.float64(0.24112326587421035), np.float64(0.2339158757760246), np.float64(0.1561024322572071), np.float64(0.6140396734159966), np.float64(0.27357671402098555)]"
SS23,12,Start12,Stop12,353118.2601567313,353123.0552792196,4.0,8.5,5,8.5,True,"[np.float64(0.24131375674623545), np.float64(0.21673906104050775), np.float64(0.21424549334186915), np.float64(0.17413314856466436), np.float64(0.26130437680452406), np.float64(0.5117890285164396)]"
SS23,13,Start13,Stop13,353129.6556560034,353134.8485047907,4.0,7.0,0,7.0,True,"[np.float64(0.5676313803971357), np.float64(0.2837739784724108), np.float64(0.20741735301070965), np.float64(0.20021287052318115), np.float64(0.21598585435266338), np.float64(0.24391261298740138)]"
SS23,14,Start14,Stop14,353141.4512239745,353146.44733236235,4.0,8.0,1,8.0,True,"[np.float64(0.3254327275914088), np.float64(0.5477601193348562), np.float64(0.17198400539963257), np.float64(0.21287033690244062), np.float64(0.26439694789531226), np.float64(0.2474921522809415)]"
SS23,15,Start15,Stop15,353153.04727164615,353158.0410981339,4.0,9.0,2,9.0,True,"[np.float64(0.2505853165893659), np.float64(0.22660025424456604), np.float64(0.36660862057811605), np.float64(0.19791264241685988), np.float64(0.23209822797354504), np.float64(0.2748334021965498)]"
SS23,16,Start16,Stop16,353164.85561581724,353169.66641980543,4.0,11.0,3,11.0,True,"[np.float64(0.2792378801154922), np.float64(0.2880695298042757), np.float64(0.29484985806314024), np.float64(0.3833098772291), np.float64(0.2897674016168808), np.float64(0.21861807676431722)]"
SS23,17,Start17,Stop17,353176.43506748887,353181.4402925766,4.0,7.5,4,7.5,True,"[np.float64(0.31166132172077565), np.float64(0.21078932562470515), np.float64(0.19370214780447495), np.float64(0.1778239392963414), np.float64(0.5324466155515505), np.float64(0.2011132310617021)]"
SS23,18,Start18,Stop18,353188.0358588605,353193.0354947482,4.0,8.5,5,8.5,True,"[np.float64(0.37623329211528556), np.float64(0.21497813370659763), np.float64(0.26846908558362026), np.float64(0.3087340610685739), np.float64(0.28222289448200705), np.float64(0.5214977584625583)]"
SS23,19,Start19,Stop19,353199.63059313205,353204.63304061984,4.0,7.0,0,7.0,True,"[np.float64(0.5595148144959197), np.float64(0.24641739442245134), np.float64(0.17861683549612775), np.float64(0.24085518746483978), np.float64(0.30822031794534577), np.float64(0.2504654933870631)]"
SS23,20,Start20,Stop20,353211.23823430366,353216.2253667914,4.0,8.0,1,8.0,True,"[np.float64(0.2329415038795497), np.float64(0.5390644374911144), np.float64(0.21939344398170638), np.float64(0.16849153633425756), np.float64(0.28029749390809505), np.float64(0.24832455014378713)]"
SS23,21,Start21,Stop21,353222.8230961753,353227.83520536305,4.0,9.0,2,9.0,True,"[np.float64(0.33465109593605097), np.float64(0.2598888905234209), np.float64(0.4619145190821787), np.float64(0.1624248103214733), np.float64(0.2442040057458098), np.float64(0.22912061533707187)]"
SS23,22,Start22,Stop22,353234.4248998469,353239.4209392346,4.0,11.0,3,11.0,True,"[np.float64(0.25084047263183534), np.float64(0.2891899416464424), np.float64(0.258329904862404), np.float64(0.48769007302253353), np.float64(0.28262273833645535), np.float64(0.2113906992975526)]"
SS23,23,Start23,Stop23,353246.0221755185,353251.0251167062,4.0,7.5,4,7.5,True,"[np.float64(0.22720208053295182), np.float64(0.21533009470762163), np.float64(0.1637197952810125), np.float64(0.25377963205660325), np.float64(0.5431007599495611), np.float64(0.2480694750301736)]"
SS23,24,Start24,Stop24,353257.8272850896,353262.81629637734,4.0,8.5,5,8.5,True,"[np.float64(0.29339863801731036), np.float64(0.27487122684698584), np.float64(0.29692363367701624), np.float64(0.22601941765266478), np.float64(0.22084406577271498), np.float64(0.49059293706106116)]"
SS24,1,Start1,Stop1,353795.3347245578,353800.330060673,4.0,7.0,0,7.0,True,"[np.float64(0.3748883686092828), np.float64(0.2654265333460746), np.float64(0.27186546972446485), np.float64(0.22770514293722874), np.float64(0.23722468019625076), np.float64(0.2062981605850981)]"
SS24,2,Start2,Stop2,353806.94956259313,353811.9310740083,4.0,8.0,1,8.0,True,"[np.float64(0.3101898404067064), np.float64(0.47022728710572703), np.float64(0.24282515729286605), np.float64(0.1888320407069907), np.float64(0.2636455798672351), np.float64(0.22738899739141202)]"
SS24,3,Start3,Stop3,353818.53164292837,353823.53384844353,4.0,9.0,2,9.0,True,"[np.float64(0.3094363396024544), np.float64(0.2226372989317146), np.float64(0.48151263355942653), np.float64(0.19799474150495427), np.float64(0.3295549035049305), np.float64(0.3148562631650785)]"
SS24,4,Start4,Stop4,353830.13617376366,353835.1347310788,4.0,11.0,3,11.0,True,"[np.float64(0.25826012306027224), np.float64(0.26835576067748346), np.float64(0.2716459212984445), np.float64(0.4006518059833942), np.float64(0.2287760595720313), np.float64(0.23470766501369517)]"
SS24,5,Start5,Stop5,353841.94311149954,353846.9484724148,4.0,7.5,4,7.5,True,"[np.float64(0.2482181578223797), np.float64(0.2005085267972206), np.float64(0.24211051426009064), np.float64(0.23935088947990338), np.float64(0.5250851874432484), np.float64(0.25537559727472686)]"
SS24,6,Start6,Stop6,353853.7395054354,353858.53728775,4.0,8.5,5,8.5,True,"[np.float64(0.3504490446000221), np.float64(0.22309566906270983), np.float64(0.23737997574213432), np.float64(0.2545066812479701), np.float64(0.2706792496528514), np.float64(0.524368171628456)]"
SS24,7,Start7,Stop7,353865.1399432701,353870.1373045853,4.0,7.0,0,7.0,True,"[np.float64(0.3914634314677806), np.float64(0.26451501026021884), np.float64(0.22723381176881016), np.float64(0.15404068059201342), np.float64(0.3516121082084329), np.float64(0.2599449683281045)]"
