subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,rhos,preproc
SS30,17,Start17,Stop17,492428.6880337991,492433.6834684203,4.0,7.5,4,7.5,True,"[np.float64(0.2743203197782716), np.float64(0.21166770164735985), np.float64(0.3078458566053366), np.float64(0.24906334809772054), np.float64(0.5716976654549162), np.float64(0.2710731744683213)]",robust_detrend+sns+bandpass
SS30,18,Start18,Stop18,492440.28473494836,492445.2843151696,4.0,8.5,5,8.5,True,"[np.float64(0.29102592215465056), np.float64(0.21234215292667327), np.float64(0.25531964712173766), np.float64(0.2539605676355768), np.float64(0.2259618388167291), np.float64(0.48088312890594614)]",robust_detrend+sns+bandpass
SS30,19,Start19,Stop19,492451.8860475976,492456.8852045189,4.0,7.0,0,7.0,True,"[np.float64(0.5994779114286478), np.float64(0.2980738123770896), np.float64(0.20051457716137636), np.float64(0.16719698849665868), np.float64(0.34885355319836003), np.float64(0.2078659922165275)]",robust_detrend+sns+bandpass
SS30,20,Start20,Stop20,492463.68619244784,492468.6974338691,4.0,8.0,1,8.0,True,"[np.float64(0.2634705656364971), np.float64(0.5218578051351757), np.float64(0.2960308112717485), np.float64(0.23460035079546973), np.float64(0.26342266025930566), np.float64(0.21924079532086874)]",robust_detrend+sns+bandpass
SS30,21,Start21,Stop21,492475.28945009713,492480.2799596183,4.0,9.0,2,9.0,True,"[np.float64(0.21592306892452945), np.float64(0.2728563847636623), np.float64(0.40273785219399927), np.float64(0.21368889409938807), np.float64(0.26806640917465585), np.float64(0.22147380579567574)]",robust_detrend+sns+bandpass
SS30,22,Start22,Stop22,492487.08860464726,492492.0850318685,4.0,11.0,0,7.0,False,"[np.float64(0.38508037744716295), np.float64(0.22461053402830414), np.float64(0.2145675159186431), np.float64(0.29613511087571376), np.float64(0.3317020553643652), np.float64(0.34220580103458365)]",robust_detrend+sns+bandpass
SS30,23,Start23,Stop23,492498.68101719656,492503.6795856178,4.0,7.5,4,7.5,True,"[np.float64(0.3516542453707254), np.float64(0.22517136666052578), np.float64(0.2260857173827594), np.float64(0.26370321167095656), np.float64(0.5029552436187028), np.float64(0.29631560823897896)]",robust_detrend+sns+bandpass
SS30,24,Start24,Stop24,492510.28194244584,492515.2861167671,4.0,8.5,5,8.5,True,"[np.float64(0.24608119639761736), np.float64(0.259182665976911), np.float64(0.22900148764457495), np.float64(0.21926985395081422), np.float64(0.2107294085390152), np.float64(0.47348658799513477)]",robust_detrend+sns+bandpass
SS31,1,Start1,Stop1,492786.06415026146,492791.01807690976,4.0,7.0,0,7.0,True,"[np.float64(0.44995648274931005), np.float64(0.20884299387776428), np.float64(0.22072601968465835), np.float64(0.22001625999907076), np.float64(0.28086587785316214), np.float64(0.2898578065855967)]",robust_detrend+sns+bandpass
SS31,2,Start2,Stop2,492797.6214718742,492802.6310535231,4.0,8.0,1,8.0,True,"[np.float64(0.24816761715177155), np.float64(0.40478604482455005), np.float64(0.24342335570833415), np.float64(0.24309594705395776), np.float64(0.3546124485417535), np.float64(0.2790028717706034)]",robust_detrend+sns+bandpass
